Namespace(wandb=True, batch_size=2048, epochs=10000, learning_rate=1e-05, weight_decay=0.0001, validation_intervals=30, early_stop_patience=100, early_stop_delta=1e-06)
{'epochs': 10000, 'batch_size': 2048, 'validation_intervals': 30, 'learning_rate': 1e-05, 'early_stop_patience': 100, 'early_stop_delta': 1e-06, 'weight_decay': 0.0001}
Training on device cuda:0.
[Epoch   1] T_loss: 0.69403, T_accuracy: 47.2007 | V_loss: 0.69494, V_accuracy: 44.0000 | Early stopping is stated! | T_time: 00:00:00, T_speed: 0.000
[Epoch 2010] T_loss: 0.69071, T_accuracy: 53.0765 | V_loss: 0.69830, V_accuracy: 44.0000 | Early stopping counter: 65 out of 100 | T_time: 00:00:59, T_speed: 34.068
[Epoch 2040] T_loss: 0.69057, T_accuracy: 53.0765 | V_loss: 0.69824, V_accuracy: 44.0000 | Early stopping counter: 66 out of 100 | T_time: 00:01:00, T_speed: 34.000
[Epoch 2070] T_loss: 0.69049, T_accuracy: 53.0211 | V_loss: 0.69858, V_accuracy: 44.0000 | Early stopping counter: 67 out of 100 | T_time: 00:01:01, T_speed: 33.934
[Epoch 2100] T_loss: 0.69064, T_accuracy: 53.0488 | V_loss: 0.69839, V_accuracy: 44.0000 | Early stopping counter: 68 out of 100 | T_time: 00:01:02, T_speed: 33.871
[Epoch 2130] T_loss: 0.69082, T_accuracy: 53.1319 | V_loss: 0.69842, V_accuracy: 44.0000 | Early stopping counter: 69 out of 100 | T_time: 00:01:03, T_speed: 33.810
[Epoch 2160] T_loss: 0.69053, T_accuracy: 52.9656 | V_loss: 0.69851, V_accuracy: 44.0000 | Early stopping counter: 70 out of 100 | T_time: 00:01:04, T_speed: 33.750
[Epoch 2190] T_loss: 0.69073, T_accuracy: 53.0211 | V_loss: 0.69851, V_accuracy: 44.0000 | Early stopping counter: 71 out of 100 | T_time: 00:01:04, T_speed: 34.219
[Epoch 2220] T_loss: 0.69035, T_accuracy: 53.0211 | V_loss: 0.69847, V_accuracy: 44.0000 | Early stopping counter: 72 out of 100 | T_time: 00:01:05, T_speed: 34.154
[Epoch 2250] T_loss: 0.69043, T_accuracy: 53.0488 | V_loss: 0.69842, V_accuracy: 44.0000 | Early stopping counter: 73 out of 100 | T_time: 00:01:06, T_speed: 34.091
[Epoch 2280] T_loss: 0.69073, T_accuracy: 53.0211 | V_loss: 0.69846, V_accuracy: 44.0000 | Early stopping counter: 74 out of 100 | T_time: 00:01:07, T_speed: 34.030
[Epoch 2310] T_loss: 0.69042, T_accuracy: 53.0765 | V_loss: 0.69841, V_accuracy: 44.0000 | Early stopping counter: 75 out of 100 | T_time: 00:01:08, T_speed: 33.971
[Epoch 2340] T_loss: 0.69063, T_accuracy: 52.9379 | V_loss: 0.69851, V_accuracy: 44.0000 | Early stopping counter: 76 out of 100 | T_time: 00:01:09, T_speed: 33.913
[Epoch 2370] T_loss: 0.69056, T_accuracy: 53.0765 | V_loss: 0.69854, V_accuracy: 44.0000 | Early stopping counter: 77 out of 100 | T_time: 00:01:10, T_speed: 33.857
[Epoch 2400] T_loss: 0.69055, T_accuracy: 52.9656 | V_loss: 0.69843, V_accuracy: 44.0000 | Early stopping counter: 78 out of 100 | T_time: 00:01:11, T_speed: 33.803
[Epoch 2430] T_loss: 0.69056, T_accuracy: 53.1596 | V_loss: 0.69833, V_accuracy: 44.0000 | Early stopping counter: 79 out of 100 | T_time: 00:01:11, T_speed: 34.225
[Epoch 2460] T_loss: 0.69088, T_accuracy: 53.1042 | V_loss: 0.69835, V_accuracy: 44.0000 | Early stopping counter: 80 out of 100 | T_time: 00:01:12, T_speed: 34.167
[Epoch 2490] T_loss: 0.69049, T_accuracy: 53.0488 | V_loss: 0.69831, V_accuracy: 44.0000 | Early stopping counter: 81 out of 100 | T_time: 00:01:13, T_speed: 34.110
[Epoch 2520] T_loss: 0.69062, T_accuracy: 53.1874 | V_loss: 0.69829, V_accuracy: 44.0000 | Early stopping counter: 82 out of 100 | T_time: 00:01:14, T_speed: 34.054
[Epoch 2550] T_loss: 0.69048, T_accuracy: 53.1042 | V_loss: 0.69844, V_accuracy: 44.0000 | Early stopping counter: 83 out of 100 | T_time: 00:01:15, T_speed: 34.000
[Epoch 2580] T_loss: 0.69068, T_accuracy: 53.1596 | V_loss: 0.69847, V_accuracy: 44.0000 | Early stopping counter: 84 out of 100 | T_time: 00:01:16, T_speed: 33.947
[Epoch 2610] T_loss: 0.69045, T_accuracy: 52.9379 | V_loss: 0.69850, V_accuracy: 44.0000 | Early stopping counter: 85 out of 100 | T_time: 00:01:17, T_speed: 33.896
[Epoch 2640] T_loss: 0.69040, T_accuracy: 53.0211 | V_loss: 0.69838, V_accuracy: 44.0000 | Early stopping counter: 86 out of 100 | T_time: 00:01:18, T_speed: 33.846
[Epoch 2670] T_loss: 0.69048, T_accuracy: 53.0765 | V_loss: 0.69858, V_accuracy: 44.0000 | Early stopping counter: 87 out of 100 | T_time: 00:01:18, T_speed: 34.231
[Epoch 2700] T_loss: 0.69066, T_accuracy: 53.0488 | V_loss: 0.69862, V_accuracy: 44.0000 | Early stopping counter: 88 out of 100 | T_time: 00:01:19, T_speed: 34.177
[Epoch 2730] T_loss: 0.69051, T_accuracy: 52.9102 | V_loss: 0.69851, V_accuracy: 44.0000 | Early stopping counter: 89 out of 100 | T_time: 00:01:20, T_speed: 34.125
[Epoch 2760] T_loss: 0.69062, T_accuracy: 53.0765 | V_loss: 0.69854, V_accuracy: 44.0000 | Early stopping counter: 90 out of 100 | T_time: 00:01:21, T_speed: 34.074
[Epoch 2790] T_loss: 0.69058, T_accuracy: 53.0211 | V_loss: 0.69823, V_accuracy: 44.0000 | Early stopping counter: 91 out of 100 | T_time: 00:01:22, T_speed: 34.024
[Epoch 2820] T_loss: 0.69040, T_accuracy: 53.0488 | V_loss: 0.69836, V_accuracy: 44.0000 | Early stopping counter: 92 out of 100 | T_time: 00:01:23, T_speed: 33.976
[Epoch 2850] T_loss: 0.69060, T_accuracy: 53.0488 | V_loss: 0.69852, V_accuracy: 44.0000 | Early stopping counter: 93 out of 100 | T_time: 00:01:24, T_speed: 33.929
[Epoch 2880] T_loss: 0.69047, T_accuracy: 53.2151 | V_loss: 0.69846, V_accuracy: 44.0000 | Early stopping counter: 94 out of 100 | T_time: 00:01:25, T_speed: 33.882
[Epoch 2910] T_loss: 0.69044, T_accuracy: 53.3259 | V_loss: 0.69862, V_accuracy: 44.0000 | Early stopping counter: 95 out of 100 | T_time: 00:01:26, T_speed: 33.837
[Epoch 2940] T_loss: 0.69045, T_accuracy: 53.0488 | V_loss: 0.69865, V_accuracy: 44.0000 | Early stopping counter: 96 out of 100 | T_time: 00:01:26, T_speed: 34.186
[Epoch 2970] T_loss: 0.69080, T_accuracy: 53.0211 | V_loss: 0.69862, V_accuracy: 44.0000 | Early stopping counter: 97 out of 100 | T_time: 00:01:27, T_speed: 34.138
[Epoch 3000] T_loss: 0.69055, T_accuracy: 53.1874 | V_loss: 0.69852, V_accuracy: 44.0000 | Early stopping counter: 98 out of 100 | T_time: 00:01:28, T_speed: 34.091
[Epoch 3030] T_loss: 0.69059, T_accuracy: 53.0488 | V_loss: 0.69856, V_accuracy: 44.0000 | Early stopping counter: 99 out of 100 | T_time: 00:01:29, T_speed: 34.045
[Epoch 3060] T_loss: 0.69066, T_accuracy: 53.1319 | V_loss: 0.69827, V_accuracy: 44.0000 | Early stopping counter: 100 out of 100 *** TRAIN EARLY STOPPED! *** | T_time: 00:01:30, T_speed: 34.000
Final training time: 00:01:30
